Date,Site,Station Depth (m),Sample Depth (m),Sample Depth (category),Local Time (Eastern Time Zone),Latitude (decimal deg),Longitude (decimal deg),Wind speed (knots),Wave Height (ft),Sky,Secchi Depth (m),CTD Temperature (C),CTD Specific Conductivity (uS/cm),CTD Beam Attenuation (m-1),CTD Tramission (%),CTD Dissolved Oxygen (mg/L),CTD Photosynthetically Active Radiation (uE/m2/s),Turbidity (NTU),Particulate Microcystin (ug/L),Dissolved Microcystin (ug/L),Extracted Phycocyanin (ug/L),Extracted Chlorophyll a (ug/L),Total Phosphorus (ug P/L),Total Dissolved Phosphorus (ug P/L),Soluble Reactive Phosphorus (ug P/L),Ammonia (ug N/L),Nitrate + Nitrite (mg N/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
7/22/2019,WE12,,6.6,Bottom,,,,,,,,26.1,279.7,6.3,20.9,6.3,0,,0.48,<0.1,3.03,12.27,,,,,,,,,,
7/22/2019,WE13,9.62,0.75,Surface,10:10,41.7467,-83.1394,12.02,2.66,partly cloudy,2.5,25.8,255.5,2,62.7,6,695.91,2.73,0.36,<0.1,11.14,7.64,12.88,2.04,,,,0.62,0.11,0.56,2.46,0.95
7/22/2019,WE13,,8.7,Bottom,,,,,,,,25.7,256.3,1.6,66.8,6.3,11.75,,0.25,<0.1,5.9,6.9,,,,,,,,,,
7/22/2019,WE16,6.64,0.75,Surface,10:50,41.6613,-83.1449,12.29,2.32,cloudy,1.25,26,258.4,2.9,48.4,6.2,284.63,6.21,0.22,<0.1,2.72,6.82,22.18,6.97,,,,0.57,0.11,0.55,6.3,1.59
7/29/2019,WE2,5.57,0.75,Surface,13:09,41.7602,-83.3336,14.45,1.7,partly cloudy,0.5,25.8,352.5,6.6,19.2,6.5,153.07,24.3,8.94,0.25,215.85,154.05,97.57,8.53,5.58,3.07,0.702,6.56,1.26,2.7,24.12,16.56
7/29/2019,WE2,,4.7,Bottom,,,,,,,,25.8,349.8,6.4,20.3,9.4,0,,3.14,0.36,369.76,130.16,,,,,,,,,,
7/29/2019,WE4,9.09,0.75,Surface,9:10,41.8261,-83.1946,11.06,1.24,sunny,1,25.2,260,2.9,48.2,7.5,143.04,9.52,4.97,0.22,54.25,52.36,32.92,3.06,6.13,3.56,0.211,2.71,0.5,0.85,8.8,5.72
7/29/2019,WE6,3.17,0.75,Surface,12:20,41.7049,-83.3869,15.43,0.69,partly cloudy,0.75,25.9,383.3,4.3,34.4,7.6,97.91,15.8,7.73,0.15,100.85,88.48,122.69,42.76,39.1,15.78,1.838,4.28,0.79,4.26,13.92,7.64
7/29/2019,WE8,5.23,0.75,Surface,8:23,41.8328,-83.3625,11.54,0.89,sunny,1,25.4,273.4,3.2,45.3,6.8,96.54,9.3,4.82,0.11,65.65,42.9,34.48,4.53,5.64,5.35,0.235,2.67,0.45,1.23,9.48,4.72
7/29/2019,WE8,,4.5,Bottom,,,,,,,,25.4,280.1,3.1,45.7,7.8,0.93,,8.89,0.15,73.39,45.09,,,,,,,,,,
7/29/2019,WE9,2.93,0.75,Surface,12:39,41.7173,-83.4248,14.42,0.52,partly sunny,0.1,25.9,399.9,31.8,0,6.9,16.15,49,2.66,0.03,48.86,74.3,186.52,56.28,52.66,35.37,3.113,4.47,0.9,4.41,52.76,8.36
7/29/2019,WE12,6.95,0.75,Surface,11:24,41.7028,-83.2563,14.43,1.26,sunny,0.75,25.5,279.5,5.7,23.8,7.2,214.11,12.7,10.98,0.05,44.69,49.63,39.13,4.87,6.02,2.33,0.287,3.24,0.59,1.2,12.35,5.05
7/29/2019,WE12,,6.1,Bottom,,,,,,,,25.4,282.1,5.4,26,7.8,0,,4.66,0.08,28.13,33.15,,,,,,,,,,
